Termo,Definição,Seção
Ativo,"Ativo é o total de bens, direitos e valores que a empresa possui.",Balanço Patrimonial
Disponibilidades,"Disponibilidades são os valores que a empresa possui em caixa, bancos e equivalentes de caixa.",Balanço Patrimonial
Ativo Circulante,Ativo Circulante é o total de bens e direitos que a empresa possui e podem ser convertidos em dinheiro em curto prazo.,Balanço Patrimonial
Dív. Bruta,Dívida Bruta é o total de dívidas que a empresa possui. Soma-se o total de dívidas de curto e longo prazo mais as debêntures.,Balanço Patrimonial
Dív. Líquida,Dívida Líquida é o total de dívidas que a empresa possui menos as disponibilidades.,Balanço Patrimonial
Patrim. Líq,Patrimônio Líquido é o total de bens e direitos que os sócios e controladores possuem na empresa.,Balanço Patrimonial
Receita Líquida,"Receita Líquida é o total de receitas que a empresa possui menos os impostos, descontos e devoluções.",Demonstração de Resultados
EBIT,EBIT é uma aproximação do lucro operacional da empresa. Fórmula: Lucro Bruto - Despesa de Vendas - Despesa Administrativa,Demonstração de Resultados
Lucro Líquido,Lucro Líquido é o lucro que a empresa possui após dedução de todas as despesas e impostos.,Demonstração de Resultados
P/L,P/L é o preço da ação dividido pelo lucro por ação.,Análise Fundamentalista
P/VP,P/VP é o preço da ação dividido pelo valor patrimonial por ação.,Análise Fundamentalista
P/EBIT,P/EBIT é o preço da ação dividido pelo EBIT.,Análise Fundamentalista
PSR,PSR é o preço da ação dividido pela receita líquida por ação.,Análise Fundamentalista
P/Ativos,P/Ativos é o preço da ação dividido pelo total de ativos por ação.,Análise Fundamentalista
P/Cap. Giro,P/Cap. Giro é o preço da ação dividido pelo capital de giro (Ativo Circulante - Passivo Circulante) por ação.,Análise Fundamentalista
P/Ativ Circ Liq,P/Ativ Circ Liq é o preço da ação dividido pelo ativo circulante líquido por ação.,Análise Fundamentalista
EV / EBITDA,EV / EBITDA é o valor da empresa dividido pelo EBITDA.,Análise Fundamentalista
EV / EBIT,EV / EBIT é o valor da empresa dividido pelo EBIT.,Análise Fundamentalista
LPA,LPA é o lucro por ação.,Análise Fundamentalista
VPA,VPA é o valor do patrimônio líquido dívidido pelo número de ações.,Análise Fundamentalista
Marg. Bruta,Marg. Bruta é lucro bruto dividido pela receita líquida.,Análise Fundamentalista
Marg. EBIT,Marg. EBIT é o EBIT dividido pela receita líquida.,Análise Fundamentalista
Marg. Líquida,Marg. Líquida é lucro líquido dividido pela receita líquida.,Análise Fundamentalista
EBIT / Ativo,EBIT / Ativo é o EBIT dividido pelo total de ativos.,Análise Fundamentalista
ROIC,ROIC é o retorno sobre o capital investido. Calcula-se dividindo o EBIT pelo (Ativo - Fornecedores - Caixa).,Análise Fundamentalista
ROE,ROE é o retorno sobre o patrimônio líquido. Calcula-se dividindo o Lucro Líquido pelo Patrimônio Líquido.,Análise Fundamentalista
Liquidez Corr,Liquidez Corr é o ativo circulante líquido dividido pelo passivo circulante.,Análise Fundamentalista
Div Br/ Patrim,Div Br/ Patrim é a dívida bruta dividido pelo patrimônio líquido.,Análise Fundamentalista
Giro Ativos,Giro Ativos é a receita líquida dividido pelo total de ativos.,Análise Fundamentalista
